,alpha_u,alpha_i,alpha_b,dim,lr,sigma,valid_error,valid_mpr,valid_hit_rate,epoch,valid_correct_count
0,0.01,0.001,0.01,15,0.07290000000000002,0.01,-2500.6267390673797,0.15915305967414675,[0.00877483 0.05413907 0.18990066 0.80165563],12,4893
1,0.1,0.01,0.1,200,0.07290000000000002,0.01,-3182.864752948185,0.20767648872563382,[0.00562914 0.0513245  0.16837748 0.73062914],15,4741
2,0.001,0.01,0.05,35,0.000729,0.01,-4061.0142749823267,0.2932291694595629,[0.00529801 0.04139073 0.15082781 0.63543046],8,3042
3,0.1,0.05,0.05,150,0.07290000000000002,0.0001,-3554.5037588560367,0.1859199131297412,[0.00629139 0.05066225 0.16705298 0.75430464],17,4539
4,0.01,0.05,0.01,10,0.000729,0.01,-4056.461805845441,0.2832164338508023,[0.00529801 0.04139073 0.15082781 0.65976821],8,3039
5,0.05,0.01,0.01,25,0.0003486784401,0.1,-4080.4226428158036,0.32913111867799866,[0.00496689 0.04172185 0.14768212 0.52682119],2,0
6,0.05,0.1,0.1,5,0.02657205000000001,0.001,-3316.1677494300216,0.1537069558767004,[0.00745033 0.06076159 0.19486755 0.80049669],30,4662
7,0.05,0.001,0.1,35,0.003486784401000002,0.01,-2206.8558797927453,0.12657170818028213,[0.00827815 0.07781457 0.26274834 0.86572848],50,5157
8,0.01,0.1,0.001,15,0.000729,0.001,-4052.6280108212727,0.28072820870311344,[0.00529801 0.04139073 0.15082781 0.66622517],8,3032
9,0.001,0.001,0.001,35,0.000729,0.0001,-4051.9429553662694,0.28069384490262855,[0.00529801 0.04139073 0.15082781 0.6660596 ],8,3040
10,0.01,0.1,0.05,10,0.000729,0.001,-4060.3383349584337,0.294168565836394,[0.00529801 0.04139073 0.15082781 0.63228477],8,3050
11,0.05,0.001,0.001,40,0.07290000000000002,0.01,-3147.689838881741,0.21840840639550774,[0.00695364 0.05711921 0.19271523 0.71440397],12,4789
12,0.01,0.001,0.1,150,0.07290000000000002,0.1,-2267.5226480110086,0.1518932264435916,[0.00612583 0.04735099 0.20049669 0.81870861],12,5170
13,0.01,0.01,0.001,5,0.03645000000000001,0.001,-2589.1530940661123,0.15261830710244717,[0.00778146 0.0589404  0.19072848 0.80745033],15,4645
14,0.01,0.05,0.1,20,0.000729,0.0001,-4069.527370724861,0.3019249984359785,[0.00529801 0.04139073 0.15082781 0.61175497],8,3015
