,alpha_u,alpha_i,alpha_b,dim,lr,sigma,valid_error,valid_mpr,valid_hit_rate,epoch,valid_correct_count
0,0.01,0.001,0.01,15,0.07290000000000002,0.01,-1229.6985330399716,0.09564388556720323,[0.00711921 0.06837748 0.24486755 0.90827815],16,5481
1,0.1,0.01,0.1,200,0.06561000000000002,0.01,-1977.8603702349496,0.11615670608002418,[0.00645695 0.05728477 0.20993377 0.87284768],18,5413
2,0.001,0.01,0.05,35,0.0003486784401,0.01,-2260.699933002826,0.15661657327220277,[0.00827815 0.04751656 0.16076159 0.79453642],50,3151
3,0.1,0.05,0.05,150,0.09000000000000001,0.0001,-2257.49698598784,0.15993194269422908,[0.00827815 0.04519868 0.14304636 0.7910596 ],3,3454
4,0.01,0.05,0.01,10,0.0003486784401,0.01,-2051.1769463127116,0.1565423045642634,[0.00827815 0.04751656 0.16192053 0.79453642],50,3054
5,0.05,0.01,0.01,25,0.0003486784401,0.1,-2117.664795262822,0.1565885996192719,[0.00827815 0.0468543  0.16142384 0.79271523],50,3059
6,0.05,0.1,0.1,5,0.045000000000000005,0.001,-2454.656771854899,0.15857472897730815,[0.00827815 0.04586093 0.14470199 0.79238411],3,3107
7,0.05,0.001,0.1,35,0.003486784401000002,0.01,-1501.9411893838683,0.10390116273873624,[0.01109272 0.06407285 0.21986755 0.89470199],50,5534
8,0.01,0.1,0.001,15,0.0003486784401,0.001,-1997.4013086944638,0.15650253371584813,[0.00827815 0.04751656 0.16192053 0.79453642],50,3021
9,0.001,0.001,0.001,35,0.0003486784401,0.0001,-1997.0927103222332,0.15650289120662036,[0.00827815 0.04751656 0.16192053 0.79453642],50,3117
10,0.01,0.1,0.05,10,0.0003486784401,0.001,-2259.860811551006,0.15661885227587583,[0.00827815 0.04751656 0.16076159 0.79453642],50,3064
11,0.05,0.001,0.001,40,0.06561000000000002,0.01,-1516.417912483823,0.10579497010483398,[0.00711921 0.06754967 0.2339404  0.88675497],17,4725
12,0.01,0.001,0.1,150,0.06561000000000002,0.1,-1058.4940709325533,0.08849219329526045,[0.0057947  0.07036424 0.25645695 0.9192053 ],20,5652
13,0.01,0.01,0.001,5,0.03280500000000001,0.001,-1364.0766483550321,0.10379874163248153,[0.00827815 0.0634106  0.2192053  0.8986755 ],20,4500
14,0.01,0.05,0.1,20,0.0003486784401,0.0001,-2458.9254377351936,0.1566579528290923,[0.00827815 0.04751656 0.16076159 0.79453642],50,3034
15,0.001,0.01,0.001,35,0.06561000000000002,0.01,-1119.9170082199805,0.09021726501684635,[0.00761589 0.06837748 0.24536424 0.91870861],18,4765
16,0.01,0.1,0.05,45,0.0003486784401,0.0001,-2259.661851426061,0.156619120393955,[0.00827815 0.04751656 0.16076159 0.79453642],50,3058
17,0.001,0.001,0.001,35,0.07290000000000002,0.1,-1093.3309193513774,0.08979712398673681,[0.00562914 0.07119205 0.25099338 0.91837748],11,4848
18,0.01,0.001,0.001,60,0.02391484500000001,0.001,-1025.899763491576,0.08270093215718848,[0.0089404  0.07930464 0.27450331 0.92748344],35,4919
19,0.001,0.01,0.05,40,0.0003486784401,0.1,-2271.481725591025,0.15681457847369235,[0.00678808 0.04801325 0.15778146 0.79387417],50,3085
20,0.001,0.1,0.01,150,0.05904900000000002,0.01,-1497.1766249536233,0.10383337355104463,[0.00662252 0.06092715 0.21440397 0.89900662],26,4630
21,0.001,0.1,0.1,200,0.05904900000000002,0.001,-1598.1074947337333,0.11249756459411345,[0.0044702  0.04718543 0.18625828 0.88725166],25,5483
22,0.001,0.01,0.01,20,0.007290000000000001,0.0001,-2012.274305343206,0.1565245193983425,[0.00430464 0.04834437 0.1634106  0.79304636],9,3228
23,0.05,0.01,0.05,30,0.0003486784401,0.001,-2260.369333753177,0.1566189416485689,[0.00827815 0.04751656 0.16076159 0.79453642],50,3082
24,0.001,0.05,0.001,150,0.003486784401000002,0.1,-1558.728068286509,0.11758850130930985,[0.00827815 0.05331126 0.18874172 0.87880795],50,4466
25,0.1,0.1,0.01,20,0.0003486784401,0.1,-2163.0667625987144,0.15653939995173877,[0.00827815 0.0486755  0.16192053 0.79403974],50,3020
26,0.1,0.001,0.01,20,0.0003486784401,0.01,-2058.2512286549277,0.15654082991482776,[0.00827815 0.04701987 0.16192053 0.79453642],50,2999
27,0.01,0.1,0.1,15,0.008100000000000001,0.0001,-2450.9539685451005,0.15674468902771385,[0.00430464 0.04486755 0.16076159 0.79387417],9,3408
28,0.001,0.001,0.001,15,0.003486784401000002,0.1,-1215.5185974064752,0.09713645422777482,[0.01009934 0.06672185 0.22665563 0.90910596],50,4711
29,0.001,0.01,0.05,35,0.0003486784401,0.01,-2260.699933002826,0.15661657327220277,[0.00827815 0.04751656 0.16076159 0.79453642],50,3151
30,0.05,0.001,0.001,30,0.006561000000000002,0.0001,-1946.584098349519,0.1565329204314904,[0.00430464 0.04751656 0.16192053 0.79288079],20,4154
31,0.01,0.1,0.1,200,0.02657205000000001,0.0001,-1814.0289899822153,0.11378730192776844,[0.00910596 0.05860927 0.20562914 0.88360927],31,5460
32,0.01,0.1,0.01,15,0.06561000000000002,0.001,-1708.8353787422552,0.11588049977209927,[0.00827815 0.05860927 0.19602649 0.87748344],20,4422
33,0.05,0.001,0.1,25,0.0003486784401,0.0001,-2458.9544191714153,0.15665804220178536,[0.00827815 0.04751656 0.16076159 0.79453642],50,3126
